term_id	parent_id
DOID_268	DOID_0001816
DOID_4505	DOID_0001816
DOID_4512	DOID_0001816
DOID_4504	DOID_0001816|DOID_2133
DOID_4517	DOID_0001816|DOID_2687
DOID_4524	DOID_0001816|DOID_4054
DOID_265	DOID_0001816|DOID_672
DOID_4522	DOID_0001816|DOID_866
DOID_10525	DOID_0002116
DOID_0060158	DOID_0014667
DOID_655	DOID_0014667
DOID_4194	DOID_0050013
DOID_10575	DOID_0050032
DOID_2351	DOID_0050032
DOID_2485	DOID_0050032
DOID_4500	DOID_0050032
DOID_104	DOID_0050117
DOID_1398	DOID_0050117
DOID_1564	DOID_0050117
DOID_934	DOID_0050117
DOID_0110921	DOID_0050120
DOID_0110922	DOID_0050120
DOID_0110923	DOID_0050120
DOID_0110924	DOID_0050120
DOID_0110925	DOID_0050120
DOID_10791	DOID_0050127
DOID_10794	DOID_0050127
DOID_2051	DOID_0050127
DOID_9507	DOID_0050127
DOID_0060296	DOID_0050129
DOID_0060777	DOID_0050129
DOID_0060781	DOID_0050129
DOID_12711	DOID_0050133
DOID_13902	DOID_0050133
DOID_8912	DOID_0050133
DOID_9060	DOID_0050133
DOID_1563	DOID_0050134
DOID_8913	DOID_0050134
DOID_0050278	DOID_0050135
DOID_0050279	DOID_0050135
DOID_1562	DOID_0050135
DOID_0050292	DOID_0050136
DOID_2473	DOID_0050136
DOID_10519	DOID_0050147
DOID_873	DOID_0050152
DOID_1492	DOID_0050155
DOID_2742	DOID_0050155
DOID_0060116	DOID_0050155|DOID_3093
DOID_1176	DOID_0050161
DOID_1532	DOID_0050161
DOID_850	DOID_0050161
DOID_0060386	DOID_0050169
DOID_0050179	DOID_0050175
DOID_0050735	DOID_0050177
DOID_0050738	DOID_0050177
DOID_0050739	DOID_0050177
DOID_0050780	DOID_0050177
DOID_0090002	DOID_0050177
DOID_10983	DOID_0050177
DOID_2409	DOID_0050291
DOID_0050072	DOID_0050292
DOID_11186	DOID_0050292
DOID_12662	DOID_0050292
DOID_12663	DOID_0050292
DOID_13450	DOID_0050292
DOID_14049	DOID_0050292
DOID_14484	DOID_0050292
DOID_1731	DOID_0050292
DOID_0070123	DOID_0050328
DOID_0070124	DOID_0050328
DOID_0070125	DOID_0050328
DOID_0070126	DOID_0050328
DOID_0070127	DOID_0050328
DOID_0070128	DOID_0050328
DOID_0050061	DOID_0050338
