"term_id"	"parent_id"
"DOID_0050890"	"EFO_0005772"
"DOID_10113"	"MONDO_0002428"
"DOID_1947"	"MONDO_0002428"
"EFO_0000094"	"EFO_1001938|EFO_0000220"
"EFO_0000095"	"MONDO_0001014|EFO_0004289|EFO_0000096|EFO_0009714|MONDO_0017594"
"EFO_0000096"	"MONDO_0004095"
"EFO_0000174"	"EFO_0000691|MONDO_0021038"
"EFO_0000178"	"MONDO_0001056|EFO_1000218"
"EFO_0000181"	"EFO_0000616|MONDO_0002038|EFO_0000707"
"EFO_0000182"	"MONDO_0018532"
"EFO_0000183"	"MONDO_0017343|EFO_0000574"
"EFO_0000186"	"EFO_1000307|EFO_0006318"
"EFO_0000191"	"EFO_0000096|EFO_1000630"
"EFO_0000195"	"MONDO_0002254|MONDO_0024297|EFO_0000589"
"EFO_0000196"	"EFO_0001663|EFO_0009709"
"EFO_0000197"	"MONDO_0020596|EFO_0000228|MONDO_0024338"
"EFO_0000198"	"MONDO_0021058|EFO_0002427|MONDO_0015756"
"EFO_0000199"	"MONDO_0044925|MONDO_0044710"
"EFO_0000200"	"EFO_0000096"
"EFO_0000203"	"EFO_0005803"
"EFO_0000205"	"EFO_0000466"
"EFO_0000209"	"EFO_0000220"
"EFO_0000211"	"EFO_0000574|EFO_0002426"
"EFO_0000216"	"EFO_0000228"
"EFO_0000217"	"EFO_0009608|EFO_0009903"
"EFO_0000218"	"MONDO_0020703|MONDO_0015667"
"EFO_0000220"	"EFO_0004289|MONDO_0020683|EFO_1000068|EFO_0009119|EFO_0002425|EFO_0005952"
"EFO_0000221"	"EFO_0000222|MONDO_0011118|MONDO_0019460|MONDO_0004600|Orphanet_319465"
"EFO_0000222"	"MONDO_0020683|MONDO_0004643|EFO_1000068"
"EFO_0000223"	"EFO_0000222|MONDO_0011118|MONDO_0019460|Orphanet_319465"
"EFO_0000224"	"MONDO_0011118|MONDO_0020078"
"EFO_0000225"	"EFO_0004145"
"EFO_0000228"	"MONDO_0024276|EFO_0000313"
"EFO_0000231"	"EFO_0000228"
"EFO_0000232"	"EFO_0006858|EFO_0002422"
