term_id	parent_id
HP_0000118	HP_0000001
HP_0000130	HP_0000008
HP_0000137	HP_0000008
HP_0000142	HP_0000008
HP_0000011	HP_0000009
HP_0000012	HP_0000009
HP_0025488	HP_0000009
HP_0000076	HP_0000009|HP_0025634
HP_0000009	HP_0000014
HP_0025487	HP_0000014
HP_0008775	HP_0000022
HP_0009714	HP_0000022
HP_0008669	HP_0000025
HP_0000035	HP_0000032
HP_0000036	HP_0000032
HP_0000045	HP_0000032
HP_0000795	HP_0000032|HP_0010936
HP_0100848	HP_0000032|HP_0033019
HP_0000028	HP_0000035
HP_0012215	HP_0000035
HP_0100796	HP_0000035
HP_0010788	HP_0000035|HP_0100848|HP_0010785
HP_0032076	HP_0000036
HP_0100600	HP_0000036|HP_0000045
HP_0100677	HP_0000055|HP_0002619
HP_0025633	HP_0000069
HP_0025634	HP_0000069
HP_0012210	HP_0000077
HP_0012211	HP_0000077|HP_0011277
HP_0000080	HP_0000078
HP_0012243	HP_0000078
HP_0010787	HP_0000078|HP_0007379
HP_0010935	HP_0000079
HP_0010936	HP_0000079
HP_0011277	HP_0000079
HP_0012874	HP_0000080
HP_0030012	HP_0000080
HP_0008682	HP_0000091|HP_0032618
HP_0000793	HP_0000099
HP_0008653	HP_0000099
HP_0008718	HP_0000110
HP_0012582	HP_0000110
HP_0000119	HP_0000118
HP_0000152	HP_0000118
HP_0000478	HP_0000118
HP_0000598	HP_0000118
HP_0000707	HP_0000118
HP_0000769	HP_0000118
HP_0000818	HP_0000118
HP_0000924	HP_0000118
HP_0001197	HP_0000118
HP_0001507	HP_0000118
HP_0001574	HP_0000118
HP_0001626	HP_0000118
HP_0001871	HP_0000118
HP_0001939	HP_0000118
HP_0002086	HP_0000118
HP_0002664	HP_0000118
HP_0002715	HP_0000118
HP_0003011	HP_0000118
HP_0003549	HP_0000118
HP_0025031	HP_0000118
HP_0025354	HP_0000118
HP_0040064	HP_0000118
HP_0000078	HP_0000119
HP_0000079	HP_0000119
HP_0000099	HP_0000123|HP_0000095
HP_0001947	HP_0000124|HP_0001941
HP_0012888	HP_0000130
HP_0031105	HP_0000130
HP_0000044	HP_0000135
HP_0031065	HP_0000137
HP_0100615	HP_0000137|HP_0010785
HP_0000141	HP_0000140
HP_0001153	HP_0000142
HP_0030683	HP_0000142|HP_0012649
HP_0000030	HP_0000150|HP_0010788
HP_0000234	HP_0000152
HP_0000464	HP_0000152
HP_0031816	HP_0000153
HP_0100825	HP_0000159
HP_0000159	HP_0000163
HP_0000164	HP_0000163
HP_0000202	HP_0000163
HP_0006292	HP_0000164
HP_0006482	HP_0000164
HP_0011061	HP_0000164
HP_0011077	HP_0000164
HP_0410030	HP_0000202
HP_0000271	HP_0000234
HP_0000600	HP_0000234
HP_0001965	HP_0000234
HP_0040195	HP_0000240
HP_0030072	HP_0000245|HP_0012720
HP_0000265	HP_0000264
HP_0000153	HP_0000271
HP_0000290	HP_0000271
HP_0000315	HP_0000271
HP_0000366	HP_0000271
HP_0000606	HP_0000271
HP_0011799	HP_0000271
HP_0000599	HP_0000290|HP_0009553
HP_0001144	HP_0000315
HP_0032039	HP_0000315
HP_0011389	HP_0000359
HP_0000365	HP_0000364
HP_0000407	HP_0000365|HP_0011389
HP_0005288	HP_0000366
HP_0012384	HP_0000366
HP_0001739	HP_0000366|HP_0000600
HP_0008609	HP_0000370
HP_0012372	HP_0000478
HP_0012373	HP_0000478
HP_0000556	HP_0000479
HP_0000532	HP_0000479|HP_0000610
HP_0001120	HP_0000481
HP_0001131	HP_0000481
HP_0007957	HP_0000481
HP_0011486	HP_0000481
HP_0011495	HP_0000481
HP_0100691	HP_0000481
HP_0031775	HP_0000486
HP_0000621	HP_0000492
HP_0000656	HP_0000492
HP_0008050	HP_0000492
HP_0030001	HP_0000492
HP_0010732	HP_0000492|HP_0200036
HP_0000549	HP_0000496
HP_0000597	HP_0000496
HP_0012547	HP_0000496
HP_0000505	HP_0000504
HP_0001123	HP_0000505
HP_0007663	HP_0000505
HP_0007970	HP_0000508
