term_id	parent_id
D012942	D001525
D006298	D006281
D012186	D000008
D012857	D000013
D000015	D000013
D018376	D000013|D002318
D004065	D000013|D004066
D005124	D000013|D005128
D044148	D000013|D008206
D018640	D000013|D009057
D009139	D000013|D009140
D000016	D000013|D011832
D015619	D000013|D012140
D012868	D000013|D012871
D050033	D000013|D013959
D025063	D000013|D030342
D011535	D000015
D014849	D000015
D054062	D000015|D001766|D003638
D058502	D000015|D009436
D005736	D000015|D011125
D000026	D000022
D018784	D000038
D001922	D000038|D001927|D002494
D010482	D000038|D010485
D017703	D000038|D010612
D020802	D000038|D013118|D020819|D002494
D000039	D000038|D014069
D007732	D000067011
D012880	D000067029|D012879|D010858
D001321	D000067877
D020817	D000067877
D040921	D000068099
D001714	D000068105
D004351	D000069437
D018792	D000069544|D020805
D003025	D000070558
D005413	D000070558
D019534	D000070599|D007592
D013716	D000070639|D001134
D013586	D000070779
D056104	D000071956|D001145
D002285	D000071960|D000230|D018299
D009011	D000072039|D014458
D007119	D000072281|D008232
D013256	D000072473
D020788	D000072661|D007027|D012174
D002925	D000072661|D010038|D012140
D056769	D000072661|D015417|D012174
D016767	D000072661|D015529
D006623	D000072661|D020752|D000798
D058365	D000072742|D002177
D016469	D000072742|D018805
D049088	D000073319
D018887	D000073376
D002644	D000073618
D006562	D000073618
D010342	D000074822
D021183	D000074924
D021184	D000074924
D006327	D000075224|D001145
D013610	D000075224|D001145
D011226	D000075224|D001145
D008133	D000075224|D001145|D006330
D053840	D000075224|D030342|D001145
D002105	D000075322
D008630	D000075322
D020149	D000075322|D020260
D004238	D000076385
D002282	D000077192
D053717	D000077299
D017282	D000079426
D008288	D000079426|D011528
D014353	D000079426|D014352
D014355	D000079426|D014352
D009293	D000079524
D053716	D000080822
D019578	D000080874|D001480|D009069|D054969
D010300	D000080874|D020734
D000741	D000080983|D000740
D000080984	D000080983|D007232
D018370	D000081207
D000081208	D000081207
D000138	D000137
D000140	D000138
D007662	D000138
D020338	D000160
D000196	D000193
D009164	D000193
D009617	D000193
D003354	D000193
D000231	D000230
D002293	D000230
D003528	D000230
D018262	D000230
D018263	D000230
D018267	D000230
D018281	D000230
D057090	D000230
D018268	D000230|D000306
D002292	D000230|D007680
D006528	D000230|D008113
D002822	D000230|D014328
D002288	D000230|D018297
D003536	D000230|D018297
D018277	D000230|D018297
D018279	D000230|D018297
D010145	D000230|D018299
D044584	D000230|D018299
D002276	D000230|D018358
D018278	D000230|D018358
D002759	D000236
D018253	D000236
D018256	D000236
D018248	D000236|D008113
D015175	D000236|D010911
D003537	D000236|D018297
D008654	D000236|D018301
D000238	D000236|D018358
D000239	D000236|D018358
D000258	D000257
D005184	D000291
D010049	D000291|D006058
D000292	D000291|D034161
D000306	D000303|D000310
D018246	D000306
D000303	D000307
D000308	D000307
D000309	D000307
D000312	D000307|D030342|D043202|D047808
D003480	D000308
D006929	D000308
D006994	D000309
D008136	D000375|D010829
D009503	D000380
D016115	D000417
D016116	D000417
D016117	D000417
D002609	D000417|D000081207|D010585
D000506	D000505
D058247	D000505
D026441	D000529
D001716	D000542|D009784
D000474	D000592
D056693	D000592
D011506	D000602
D003555	D000608
D016657	D000686|D002539
D028226	D000686|D008661
D000075363	D000686|D010265|D054219|D008232
D017772	D000686|D010523
D000743	D000740
D000747	D000740
D000748	D000740
D012010	D000740
D000751	D000740|D007232
D000750	D000740|D009196
D000742	D000745
D000746	D000745
D004612	D000745
D013103	D000745
D005955	D000745|D002239
D000755	D000745|D006453
D006445	D000745|D006453
D013789	D000745|D006453
D000749	D000748
D000752	D000749|D014806
D005330	D000751
D000754	D000753
D056586	D000755|D008171|D012120
D009006	D000782
D000784	D000783
D000789	D000787
D000788	D000789
D007715	D000798
D054179	D000799|D000081208
D001715	D000820
D002418	D000820
D005393	D000820
D012757	D000820
D012376	D000820
D006734	D000820
D018419	D000820
D000187	D000820|D000189
D004767	D000820|D003015
D015047	D000820|D007239
D006520	D000820|D007239|D006505
D011002	D000820|D009175
D010273	D000820|D010272
D058968	D000820|D010273
D005536	D000820|D010850
D000453	D000820|D012897|D010322|D002609
D013231	D000820|D014811
D006357	D000820|D016873
D004889	D000820|D016908
D029021	D000820|D018185
D011557	D000820|D020805|D006566
D004195	D000820|D023421|D008954
D001837	D000886|D001824
D005401	D001004
D001005	D001004|D012004
D000379	D001008
D009771	D001008
D010698	D001008
D016584	D001008
D009497	D001008|D001523
D017544	D001014
D017545	D001014
D001015	D001018
D001014	D001018|D000783
D001020	D001024
D021921	D001024
D012891	D001049|D020919
D000856	D001068
D052018	D001068
D000080822	D001068
D020240	D001072
D055964	D001072
D020235	D001072|D020233
D010217	D001102|D002044
D003715	D001102|D006482|D018177
D015004	D001102|D006482|D018177
D012295	D001102|D006524|D006482|D002044
D003121	D001102|D012088|D017282
D000071243	D001102|D018177
D007835	D001117|D006482
D005543	D001134
D006810	D001134|D050723
D001282	D001145
D001919	D001145
D014693	D001145
D001146	D001145
D001161	D001157
D005352	D001157
D001162	D001161
D050197	D001161
D050379	D001161
D003324	D001161|D003327
D007383	D001161|D012816
D002537	D001161|D020765
D004692	D001167
D002805	D001168|D000070657
D010489	D001168|D002062
D006073	D001168|D011686|D000070657|D012216
D010003	D001168|D012216
D012213	D001168|D013290|D012216
D005258	D001172
D016706	D001172
D004401	D001184
D013224	D001249
D055963	D001249|D006969|D004342
D005909	D001254
D002524	D001259|D002526
D008878	D001261
D009133	D001284|D020879
D001294	D001290|D003695
D000074822	D001294|D015438
D013067	D001307
D016736	D001327
D000744	D001327|D000743
D001171	D001327|D001168|D012216
D001172	D001327|D001168|D012216
D008180	D001327|D003240
D003874	D001327|D003872|D012872
D003922	D001327|D003920
D005922	D001327|D005921
D015433	D001327|D005921
D019867	D001327|D005921|D017563
D016553	D001327|D006474|D011696
D019693	D001327|D006521
D006111	D001327|D006980|D006042|D005094
D020274	D001327|D009422
D010391	D001327|D012872
D010392	D001327|D012872
D062027	D001327|D012872
D013967	D001327|D013966
D009879	D001327|D015864
D056735	D001327|D030342|D008232
D056648	D001327|D056647
D054969	D001342
D001206	D001361
D014802	D001361
D014804	D001361
D014808	D001361
D014811	D001361
D001424	D001423
D009181	D001423
D016905	D001424
D016908	D001424
D020806	D001424|D002494
D015231	D001424|D012749
D017192	D001424|D012874
D015818	D001424|D015817
D016470	D001424|D018805
D014205	D001474
D002372	D001474|D008199
D001474	D001476
D020144	D001480|D002561
D020734	D001480|D009069
D009459	D001480|D020258
D013494	D001480|D024801|D009886|D009069
D001526	D001519
D004327	D001519
D013239	D001519
D002652	D001519
D012309	D001519
D015438	D001519
D004644	D001520
D001519	D001520
D010551	D001520
D001290	D001520
D000068099	D001523
D001008	D001523
D010262	D001523
D010554	D001523
D013001	D001523
D019964	D001523
D019965	D001523
D001068	D001523
D065886	D001523
D000068105	D001523
D020018	D001523
D019960	D001523
D007174	D001523
D019967	D001523
D011584	D001525
D011603	D001525|D010827|D026441|D011579
D016728	D001526
D002761	D001649
D002779	D001649
D003137	D001649
D001656	D001649|D004065
D015529	D001649|D004065|D003560
D003138	D001650|D003137
D001649	D001660
D002769	D001660
D005705	D001660
D001661	D001660|D004067
D001650	D001661|D001649
D001823	D001669|D008660|D001824
D012038	D001686
D000220	D001686
D010858	D001686|D010808
D010827	D001690
D005585	D001715|D009976
D014379	D001715|D014376
D009521	D001715|D045463
D064927	D001733
D003556	D001745
D014718	D001745
D001750	D001745|D009461
D001748	D001745|D014524
D001744	D001745|D014545
D001749	D001745|D014571
D053201	D001745|D059411
D020147	D001778
D013921	D001791
D013922	D001791|D009196
D007019	D001796
D010265	D001796|D007160
D006942	D001796|D007160|D012816
D050218	D001823|D001837
D000067029	D001824
D042541	D001825|D022082
D005334	D001832
D007035	D001832
D013851	D001835
D001836	D001835
D050177	D001835
D015430	D001836
D015431	D001836
D007570	D001845|D007571
D004839	D001847
D010000	D001847
D013122	D001847
D015576	D001847
D055034	D001847
D056305	D001847
D001848	D001847
D017760	D001847
D010007	D001847|D002357
D001845	D001847|D003560
D010005	D001847|D007592
D001862	D001847|D016723
D004413	D001848
D010009	D001848|D030342
D004392	D001848|D030342|D004700
D008382	D001848|D030342|D006330|D000015|D003240
D010002	D001849
D010019	D001850
D010024	D001851
D009190	D001855
D009196	D001855
D054437	D001855
D000080983	D001855
D050398	D001859
D012888	D001859
D010014	D001862
D014917	D001885|D012141
D008193	D001899|D016905|D017282
D016781	D001922|D014123|D020808
D038223	D001924
D002547	D001925
D000405	D001927
D001480	D001927
D001929	D001927
D002526	D001927
D002534	D001927
D004660	D001927
D004678	D001927
D004827	D001927
D006849	D001927
D007027	D001927
D013786	D001927
D019150	D001927
D019585	D001927
D019586	D001927
D020773	D001927
D001925	D001927
D056784	D001927
D017590	D001928|D003711
D054319	D001928|D003711
D007647	D001928|D004899|D006932
D012202	D001928|D005234
D020739	D001928|D008661
D014899	D001928|D013832|D019973
D006501	D001928|D017093
D017237	D001928|D017240
D038642	D001930
D000070642	D001930
D011007	D001930|D002493
D002551	D001932
D015173	D001932
D015192	D001932
D005348	D001941
D006177	D001941
D047688	D001941|D003560
D018567	D001943
D058922	D001943
D064726	D001943
D001987	D001982
D002283	D001984|D008175
D001989	D001988
D001988	D001991
D018778	D002044
D061205	D002114
D009397	D002114|D007674
D002114	D002128
D011547	D002128|D008664|D001851
D006934	D002128|D014883
D006996	D002128|D014883
D002178	D002177|D003881
D002179	D002177|D003881
D006008	D002239
D018981	D002239
D015318	D002239
D015323	D002239
D009100	D002239|D000592
D009081	D002239|D001851|D020140
D005645	D002239|D020140
D005693	D002239|D020739
D008303	D002276
D000230	D002277
D002278	D002277
D002295	D002277
D018286	D002277
D018287	D002277
D018288	D002277
D065646	D002277
D002280	D002277|D018295
D002281	D002277|D018295
D019048	D002278
D000071960	D002278|D001943
D002289	D002283
D055752	D002283
D001913	D002294
D024741	D002312|D030342
D006331	D002318
D014652	D002318
D011249	D002318|D011248
D016276	D002320
D016275	D002320
D006439	D002320
D002341	D002340|D002542
D011081	D002357
D046789	D002357
D008414	D002418
D016643	D002418|D017096
D002430	D002429|D007414
D001063	D002430
D022003	D002467
D048429	D002468
D001752	D002471|D015464
D022082	D002477
D054517	D002481|D009916
D001927	D002493
D008581	D002493
D009069	D002493
D013118	D002493
D004679	D002493|D002494
D020819	D002494
D000069544	D002494|D004660
D020754	D002524|D013132
D020925	D002534|D002545
D015140	D002537|D003704|D002561|D056784
D009072	D002539|D002340|D001157
D020766	D002542
D020767	D002542
D020243	D002544|D002539
D020244	D002544|D002539
D020762	D002544|D002539
D002546	D002545
D014715	D002545
D016545	D002551
D002340	D002561
D002545	D002561
D020301	D002561
D020521	D002561
D020765	D002561
D059345	D002561
D020300	D002561|D006470
D007969	D002561|D007235|D004678
D002575	D002577
D002579	D002577
D002581	D002577|D000026
D002578	D002577|D011230
D004169	D002590
D004443	D002590
D006925	D002590
D013622	D002590
D000069437	D002620
D000787	D002637|D017202
D000066553	D002652|D001526
D000067877	D002659
D008219	D002690
D003235	D002690|D003234
D023521	D002694
D002690	D002694|D015231
D041881	D002764
D042101	D002764
D042882	D002769|D002137|D041761
D042883	D002769|D003137
D002782	D002776
D013261	D002776|D008563
D001651	D002779
D002784	D002782|D013261
D008078	D002784|D008077
D018902	D002806|D018901
D018211	D002813
D018245	D002822
D031954	D002822
D012729	D002869
D059785	D002875
D001790	D002943
D002320	D002943
D012143	D002943
D008593	D002979
D005738	D003015
D013742	D003015
D004761	D003015|D004760
D012523	D003048
D014123	D003048
D021865	D003048
D021866	D003048
D003457	D003048|D007411|D011529
D060825	D003072
D046728	D003092
D007627	D003095|D002921
D010013	D003095|D010009|D030342
D017441	D003095|D012871
D009394	D003095|D014564|D009393
D008342	D003103|D003394
D003109	D003108
D008531	D003108
D043963	D003108
D059269	D003108
D043183	D003109
D055496	D003109
D055847	D003123
D001657	D003137
D000067404	D003147
D007806	D003147
D000868	D003161
D003693	D003221|D019965
D003231	D003229
D011625	D003229
D059407	D003229
D007637	D003231|D007634
D003234	D003231|D015818
D003232	D003236|D004769
D006097	D003238
D008947	D003240
D017520	D003240
D065134	D003240
D003095	D003240
D010023	D003240|D010026
D003483	D003240|D012873
D014474	D003244
D004387	D003286|D005350|D003240
D000071956	D003288|D006335
D007634	D003316
D007640	D003316
D015715	D003316
D003318	D003316
D005642	D003317
D053559	D003317
D001112	D003318
D003329	D003327
D023921	D003327
D003323	D003327|D000783
D003328	D003327|D013927
D018352	D003333
D004165	D003354
D006232	D003384
D011000	D003384
D020431	D003389
D009901	D003389|D005128
D015835	D003389|D005128|D002493
D003390	D003389|D010524|D009423
D000160	D003389|D012181
D019574	D003390|D009901
D006210	D003394
D006972	D003394
D000168	D003398|D013576
D018282	D003536
D018283	D003536
D018291	D003537
D018292	D003537
D018856	D003556
D013955	D003560
D014496	D003560
D022083	D003593
D066088	D003643
D003645	D003643
D001361	D003677
D008275	D003677
D011191	D003677
D011488	D003677
D015154	D003680
D020232	D003704
D018888	D003704|D001037
D015526	D003704|D015658
D007562	D003704|D017096
D057174	D003704|D057177
D017678	D003710
D017213	D003731
D000567	D003744
D003789	D003788
D011671	D003788
