term_id	parent_id
MONDO_0000004	MONDO_0002816
MONDO_0000005	MONDO_0004907
MONDO_0000009	MONDO_0002245|MONDO_0002243|MONDO_0003847
MONDO_0000014	MONDO_0001703
MONDO_0000015	MONDO_0003832
MONDO_0000022	MONDO_0024290
MONDO_0000023	MONDO_0015508
MONDO_0000024	MONDO_0005508
MONDO_0000030	MONDO_0002612
MONDO_0000032	MONDO_0003847
MONDO_0000044	MONDO_0024300|MONDO_0023603
MONDO_0000045	MONDO_0018612
MONDO_0000050	MONDO_0019824|MONDO_0005152
MONDO_0000060	MONDO_0001149
MONDO_0000062	MONDO_0021129
MONDO_0000066	MONDO_0004069
MONDO_0000075	MONDO_0020128
MONDO_0000078	MONDO_0019796
MONDO_0000079	MONDO_0005298
MONDO_0000082	MONDO_0005039
MONDO_0000087	MONDO_0000508|MONDO_0015572
MONDO_0000088	MONDO_0002259|MONDO_0021147
MONDO_0000090	MONDO_0005181
MONDO_0000104	MONDO_0000387
MONDO_0000105	MONDO_0006506
MONDO_0000107	MONDO_0007500|MONDO_0015334|MONDO_0015397|MONDO_0018751
MONDO_0000110	MONDO_0015412|MONDO_0015503|MONDO_0018562
MONDO_0000111	MONDO_0003847
MONDO_0000114	MONDO_0003847
MONDO_0000115	MONDO_0003847
MONDO_0000118	MONDO_0006600
MONDO_0000119	MONDO_0005453
MONDO_0000127	MONDO_0019695
MONDO_0000128	MONDO_0004183
MONDO_0000129	MONDO_0005066
MONDO_0000133	MONDO_0006025|MONDO_0019052|MONDO_0015707
MONDO_0000136	MONDO_0006566|MONDO_0020162|MONDO_0006552|MONDO_0018855
MONDO_0000137	MONDO_0005560
MONDO_0000138	MONDO_0000841
MONDO_0000141	MONDO_0015945|MONDO_0019040
MONDO_0000147	MONDO_0021075
MONDO_0000148	MONDO_0003225|MONDO_0002771
MONDO_0000151	MONDO_0005172
MONDO_0000152	MONDO_0017578
MONDO_0000153	MONDO_0020285
MONDO_0000155	MONDO_0019245
MONDO_0000156	MONDO_0018234
MONDO_0000158	MONDO_0005497
MONDO_0000159	MONDO_0003225
MONDO_0000160	MONDO_0016022
MONDO_0000166	MONDO_0020683|MONDO_0021669|MONDO_0005560
MONDO_0000167	MONDO_0024237
MONDO_0000169	MONDO_0000062
MONDO_0000170	MONDO_0000062
MONDO_0000171	MONDO_0018276
MONDO_0000172	MONDO_0018276
MONDO_0000173	MONDO_0018276
MONDO_0000179	MONDO_0015148|MONDO_0015159|MONDO_0015327|MONDO_0018491|MONDO_0043005|MONDO_0017272|MONDO_0017273
MONDO_0000181	MONDO_0001149|MONDO_0004674
MONDO_0000182	MONDO_0018940
MONDO_0000184	MONDO_0015722
MONDO_0000188	MONDO_0100033|MONDO_0045015|MONDO_0019117|MONDO_0019214
MONDO_0000190	MONDO_0007263
MONDO_0000192	MONDO_0005336
MONDO_0000193	MONDO_0044976|MONDO_0016072|MONDO_0002525|MONDO_0015898
MONDO_0000200	MONDO_0015159|MONDO_0000508|MONDO_0015336|MONDO_0002320
MONDO_0000208	MONDO_0020700
MONDO_0000209	MONDO_0024257|MONDO_0015168|MONDO_0002320
MONDO_0000210	MONDO_0005066
MONDO_0000211	MONDO_0003122
MONDO_0000212	MONDO_0001566
MONDO_0000213	MONDO_0007179
MONDO_0000214	MONDO_0005066
MONDO_0000215	MONDO_0020310
MONDO_0000218	MONDO_0021147
MONDO_0000222	MONDO_0020683|MONDO_0001027
MONDO_0000224	MONDO_0037792|MONDO_0006504
MONDO_0000225	MONDO_0016003|MONDO_0004805
MONDO_0000226	MONDO_0005066
MONDO_0000227	MONDO_0001195
MONDO_0000229	MONDO_0005677
MONDO_0000230	MONDO_0005677
MONDO_0000231	MONDO_0001195
MONDO_0000232	MONDO_0001195
MONDO_0000233	MONDO_0001195
MONDO_0000234	MONDO_0001195
MONDO_0000236	MONDO_0020592|MONDO_0001701
MONDO_0000237	MONDO_0006752
MONDO_0000238	MONDO_0001112
