preferred_ontology_term	MESH	UMLS	EFO	NCIT	OMIM	DOID	Orphanet	HP	MONDO	ICD-10	label
NCIT_C98827		C0345203		NCIT_C98827							Large Intestine Atresia
NCIT_C97151		C3273258		NCIT_C97151							Congenital Systemic Disorder
NCIT_C102905		C3641000		NCIT_C102905							NCI CTEP Simplified Disease Classification Terminology
NCIT_C78488		C0281914		NCIT_C78488							Musculoskeletal Deformity
NCIT_C103185		C3641117		NCIT_C103185							Congenital Reproductive System Abnormality
NCIT_C9479		C1333600		NCIT_C9479							Hereditary Malignant Neoplasm
NCIT_C36288		C0426779		NCIT_C36288							Connective and Soft Tissue Finding
NCIT_C38029		C0039231		NCIT_C38029							Tachycardia
NCIT_C26790		C1963929		NCIT_C26790							Acute Infective Polyneuritis
NCIT_C99231		C1263836		NCIT_C99231							Neonatal Infectious Disorder
NCIT_C96412		C3272759		NCIT_C96412							Brain Development Abnormality
NCIT_C166355				NCIT_C166355							Non-Neoplastic Musculoskeletal Disorder
NCIT_C150179				NCIT_C150179							Non-Neoplastic Optic Nerve Disorder
NCIT_C165470				NCIT_C165470							Hereditary Colorectal Cancer Syndrome
NCIT_C7628		C1335729		NCIT_C7628							Refractory Neoplasm
NCIT_C35107		C0042063		NCIT_C35107							Congenital Genitourinary Abnormality
NCIT_C7653		C1334224		NCIT_C7653							Intermediate Soft Tissue Tumor
NCIT_C121926		C4054709		NCIT_C121926							Intermediate Bone Neoplasm
NCIT_C3738		C4048303		NCIT_C3738							Osteoclastic Giant Cell-Rich Tumor of Bone
NCIT_C121978		C4055497		NCIT_C121978							Acute Lymphoblastic Leukemia by ROSE Cluster
NCIT_C26753		C0012817		NCIT_C26753							Diverticulum
NCIT_C122788		C2931826		NCIT_C122788							Potassium Aggravated Myotonia
NCIT_C123158		C0020501		NCIT_C123158							Primary Hyperoxaluria
NCIT_C116718				NCIT_C116718							Early Onset Primary Dystonia
NCIT_C28428				NCIT_C28428							Retired Concept
NCIT_C121156		C0410536		NCIT_C121156							Mesomelic Dysplasia
NCIT_C128041				NCIT_C128041							Cervical Neuroendocrine Neoplasm
NCIT_C5409		C1332894		NCIT_C5409							Central Nervous System T-Cell Non-Hodgkin Lymphoma
NCIT_C157491				NCIT_C157491							Retired Concept 2018
NCIT_C127165		C0342496		NCIT_C127165							Micronodular Adrenal Hyperplasia
NCIT_C118675		C1963826		NCIT_C118675							Mitochondrial Enzyme Deficiency
NCIT_C3397		C0038874		NCIT_C3397							Supratentorial Neoplasm
NCIT_C3093		C0684275		NCIT_C3093							Hemophilia
NCIT_C119758		C0235820		NCIT_C119758							Neonatal Encephalopathy
