"term_id"	"parent_id"
"NCIT_C100051"	"NCIT_C9385"
"NCIT_C100093"	"NCIT_C121619|NCIT_C5461"
"NCIT_C100104"	"NCIT_C3367"
"NCIT_C101024"	"NCIT_C98827"
"NCIT_C101025"	"NCIT_C98828"
"NCIT_C101029"	"NCIT_C84482"
"NCIT_C101038"	"NCIT_C97151|NCIT_C28193"
"NCIT_C101039"	"NCIT_C97151|NCIT_C28193"
"NCIT_C101044"	"NCIT_C101214"
"NCIT_C101045"	"NCIT_C98805"
"NCIT_C101050"	"NCIT_C99538"
"NCIT_C101074"	"NCIT_C34700"
"NCIT_C101201"	"NCIT_C101214"
"NCIT_C101209"	"NCIT_C105595"
"NCIT_C101214"	"NCIT_C97172|NCIT_C27586"
"NCIT_C101216"	"NCIT_C118317"
"NCIT_C101218"	"NCIT_C34379"
"NCIT_C101219"	"NCIT_C99041"
"NCIT_C101220"	"NCIT_C99041"
"NCIT_C101223"	"NCIT_C28193"
"NCIT_C101253"	"NCIT_C35317"
"NCIT_C101254"	"NCIT_C35317"
"NCIT_C101270"	"NCIT_C84799"
"NCIT_C101304"	"NCIT_C98996"
"NCIT_C101328"	"NCIT_C84648"
"NCIT_C101334"	"NCIT_C34816"
"NCIT_C102533"	"NCIT_C50602"
"NCIT_C102570"	"NCIT_C126498|NCIT_C9474"
"NCIT_C102820"	"NCIT_C26764"
"NCIT_C102870"	"NCIT_C39986|NCIT_C121619"
"NCIT_C102872"	"NCIT_C9466|NCIT_C34447"
"NCIT_C102897"	"NCIT_C4822|NCIT_C6958"
"NCIT_C102979"	"NCIT_C26796"
"NCIT_C102993"	"NCIT_C35553"
"NCIT_C103126"	"NCIT_C103121"
"NCIT_C103144"	"NCIT_C28193"
"NCIT_C103184"	"NCIT_C78488"
"NCIT_C103186"	"NCIT_C103185"
"NCIT_C103817"	"NCIT_C4863|NCIT_C9479"
"NCIT_C103917"	"NCIT_C99137"
"NCIT_C103921"	"NCIT_C53543"
"NCIT_C103936"	"NCIT_C51223"
"NCIT_C103968"	"NCIT_C53543|NCIT_C34816"
"NCIT_C104003"	"NCIT_C26324"
"NCIT_C104813"	"NCIT_C2849"
"NCIT_C105595"	"NCIT_C97172|NCIT_C89338"
"NCIT_C107101"	"NCIT_C3114"
"NCIT_C107377"	"NCIT_C27574"
"NCIT_C110923"	"NCIT_C26909"
"NCIT_C110940"	"NCIT_C62591"
"NCIT_C110942"	"NCIT_C95834"
"NCIT_C111119"	"NCIT_C2881"
"NCIT_C111643"	"NCIT_C35729"
"NCIT_C111644"	"NCIT_C26791"
"NCIT_C111646"	"NCIT_C38029"
"NCIT_C111647"	"NCIT_C53543"
"NCIT_C111648"	"NCIT_C50802"
"NCIT_C111692"	"NCIT_C111691"
"NCIT_C111693"	"NCIT_C111691"
"NCIT_C111694"	"NCIT_C111691"
"NCIT_C111695"	"NCIT_C111691"
"NCIT_C111786"	"NCIT_C35867"
"NCIT_C111802"	"NCIT_C156032"
"NCIT_C111814"	"NCIT_C53543|NCIT_C28193"
"NCIT_C111856"	"NCIT_C2992"
"NCIT_C111857"	"NCIT_C98996"
"NCIT_C111884"	"NCIT_C39594"
"NCIT_C111885"	"NCIT_C5036"
"NCIT_C111888"	"NCIT_C2983"
"NCIT_C111904"	"NCIT_C84767"
"NCIT_C111905"	"NCIT_C84767"
"NCIT_C111963"	"NCIT_C2983"
"NCIT_C112112"	"NCIT_C5036"
"NCIT_C112116"	"NCIT_C50559"
"NCIT_C112117"	"NCIT_C35729|NCIT_C35740"
"NCIT_C112122"	"NCIT_C2983"
"NCIT_C112175"	"NCIT_C36281"
"NCIT_C112181"	"NCIT_C35025"
"NCIT_C112183"	"NCIT_C27604"
"NCIT_C112190"	"NCIT_C36281"
"NCIT_C112198"	"NCIT_C79545"
"NCIT_C112199"	"NCIT_C60925"
"NCIT_C112200"	"NCIT_C50575"
"NCIT_C112204"	"NCIT_C112210"
"NCIT_C112208"	"NCIT_C28193"
"NCIT_C112210"	"NCIT_C26912"
"NCIT_C112214"	"NCIT_C78493"
"NCIT_C112314"	"NCIT_C14196"
"NCIT_C112831"	"NCIT_C84776"
"NCIT_C112836"	"NCIT_C3123"
"NCIT_C112840"	"NCIT_C27569"
"NCIT_C112843"	"NCIT_C85021"
"NCIT_C112857"	"NCIT_C35221"
"NCIT_C113104"	"NCIT_C35553"
"NCIT_C113144"	"NCIT_C26800"
"NCIT_C113150"	"NCIT_C34941"
"NCIT_C113159"	"NCIT_C27557"
"NCIT_C113168"	"NCIT_C35553"
"NCIT_C113169"	"NCIT_C27564"
"NCIT_C113170"	"NCIT_C28193"
"NCIT_C113171"	"NCIT_C27566"
"NCIT_C113172"	"NCIT_C26691"
"NCIT_C113208"	"NCIT_C92809"
"NCIT_C113210"	"NCIT_C2969"
"NCIT_C113213"	"NCIT_C92809"
"NCIT_C113335"	"NCIT_C48259"
"NCIT_C113344"	"NCIT_C92809"
"NCIT_C113347"	"NCIT_C9227"
"NCIT_C113351"	"NCIT_C27627"
"NCIT_C113352"	"NCIT_C113351"
"NCIT_C113397"	"NCIT_C53497|NCIT_C28193"
"NCIT_C113400"	"NCIT_C28193"
"NCIT_C113422"	"NCIT_C28193"
"NCIT_C113482"	"NCIT_C26682"
"NCIT_C113484"	"NCIT_C36279"
"NCIT_C113485"	"NCIT_C98996"
"NCIT_C113615"	"NCIT_C53494"
"NCIT_C113750"	"NCIT_C35553"
"NCIT_C113755"	"NCIT_C35553"
"NCIT_C113814"	"NCIT_C26689"
"NCIT_C113824"	"NCIT_C2849"
"NCIT_C114281"	"NCIT_C27662"
"NCIT_C114346"	"NCIT_C3114"
"NCIT_C114347"	"NCIT_C116778"
"NCIT_C114354"	"NCIT_C27153"
"NCIT_C114357"	"NCIT_C2883"
"NCIT_C114358"	"NCIT_C26925"
"NCIT_C114361"	"NCIT_C61277"
"NCIT_C114389"	"NCIT_C26894"
"NCIT_C114470"	"NCIT_C27572"
"NCIT_C114471"	"NCIT_C28193"
"NCIT_C114476"	"NCIT_C3114"
"NCIT_C114483"	"NCIT_C9431|NCIT_C3107"
"NCIT_C114541"	"NCIT_C4247|NCIT_C7707"
"NCIT_C114656"	"NCIT_C7558|NCIT_C3727"
"NCIT_C114666"	"NCIT_C26738"
"NCIT_C114667"	"NCIT_C114688|NCIT_C27600"
"NCIT_C114688"	"NCIT_C27599"
"NCIT_C114696"	"NCIT_C27603|NCIT_C114688"
"NCIT_C114699"	"NCIT_C36286"
"NCIT_C114766"	"NCIT_C117115|NCIT_C53543"
"NCIT_C114767"	"NCIT_C84723"
"NCIT_C114768"	"NCIT_C75006"
"NCIT_C114769"	"NCIT_C2985"
"NCIT_C114770"	"NCIT_C3452"
"NCIT_C114771"	"NCIT_C3452"
"NCIT_C114777"	"NCIT_C3708"
"NCIT_C114779"	"NCIT_C3211|NCIT_C9301"
"NCIT_C114781"	"NCIT_C28193"
"NCIT_C114801"	"NCIT_C68627"
"NCIT_C114821"	"NCIT_C48259"
"NCIT_C114827"	"NCIT_C110937"
"NCIT_C114828"	"NCIT_C8711"
"NCIT_C114875"	"NCIT_C92719"
"NCIT_C114899"	"NCIT_C99248"
"NCIT_C114902"	"NCIT_C99248"
"NCIT_C114906"	"NCIT_C98996|NCIT_C61469"
"NCIT_C114929"	"NCIT_C3107"
"NCIT_C114932"	"NCIT_C4872"
"NCIT_C114933"	"NCIT_C4863"
"NCIT_C114940"	"NCIT_C9305|NCIT_C4784"
"NCIT_C115124"	"NCIT_C62601"
"NCIT_C115149"	"NCIT_C3439"
"NCIT_C115164"	"NCIT_C26726"
"NCIT_C115165"	"NCIT_C27662"
"NCIT_C115200"	"NCIT_C3056"
"NCIT_C115207"	"NCIT_C53543"
"NCIT_C115221"	"NCIT_C2902"
"NCIT_C115326"	"NCIT_C53543|NCIT_C28193"
"NCIT_C115965"	"NCIT_C93210"
"NCIT_C115993"	"NCIT_C27610"
"NCIT_C116003"	"NCIT_C26851"
"NCIT_C116006"	"NCIT_C27651"
"NCIT_C116007"	"NCIT_C27661"
"NCIT_C116008"	"NCIT_C98996"
"NCIT_C116313"	"NCIT_C35095"
"NCIT_C116319"	"NCIT_C53543"
"NCIT_C116337"	"NCIT_C26884"
"NCIT_C116342"	"NCIT_C132067|NCIT_C6958"
"NCIT_C116343"	"NCIT_C78346"
"NCIT_C116345"	"NCIT_C26790|NCIT_C99383|NCIT_C28193"
"NCIT_C116347"	"NCIT_C3111"
"NCIT_C116359"	"NCIT_C50724"
"NCIT_C116362"	"NCIT_C28193|NCIT_C27586"
"NCIT_C116363"	"NCIT_C28193|NCIT_C2889"
"NCIT_C116364"	"NCIT_C3078"
"NCIT_C116366"	"NCIT_C84575"
"NCIT_C116367"	"NCIT_C35731"
"NCIT_C116380"	"NCIT_C28193"
"NCIT_C116381"	"NCIT_C4731|NCIT_C27587"
"NCIT_C116538"	"NCIT_C3020"
"NCIT_C116573"	"NCIT_C3020|NCIT_C28193"
"NCIT_C116593"	"NCIT_C26920"
"NCIT_C116718"	"NCIT_C35527"
"NCIT_C116719"	"NCIT_C35527"
"NCIT_C116757"	"NCIT_C27586"
"NCIT_C116767"	"NCIT_C116757"
"NCIT_C116768"	"NCIT_C116757"
"NCIT_C116776"	"NCIT_C2889"
"NCIT_C116778"	"NCIT_C2883"
"NCIT_C116779"	"NCIT_C93210"
"NCIT_C116780"	"NCIT_C72069"
"NCIT_C116789"	"NCIT_C72070"
"NCIT_C116791"	"NCIT_C72070"
"NCIT_C116794"	"NCIT_C28193|NCIT_C2889"
"NCIT_C116796"	"NCIT_C101216"
"NCIT_C116800"	"NCIT_C98996|NCIT_C28193"
"NCIT_C116810"	"NCIT_C99231|NCIT_C26711"
"NCIT_C116811"	"NCIT_C99231|NCIT_C26711"
"NCIT_C116812"	"NCIT_C26711"
"NCIT_C116813"	"NCIT_C26711"
"NCIT_C116814"	"NCIT_C99231|NCIT_C85185"
"NCIT_C116815"	"NCIT_C34504"
"NCIT_C116816"	"NCIT_C99231|NCIT_C53656"
"NCIT_C116817"	"NCIT_C99231|NCIT_C53656"
"NCIT_C116819"	"NCIT_C98996|NCIT_C34521"
"NCIT_C116903"	"NCIT_C34460"
"NCIT_C116904"	"NCIT_C34460"
"NCIT_C116905"	"NCIT_C34460"
"NCIT_C116906"	"NCIT_C34460"
"NCIT_C116916"	"NCIT_C28193"
"NCIT_C116917"	"NCIT_C28193|NCIT_C2889"
"NCIT_C116919"	"NCIT_C99383|NCIT_C27153"
"NCIT_C116926"	"NCIT_C116345"
"NCIT_C116927"	"NCIT_C116345"
"NCIT_C116929"	"NCIT_C116345"
"NCIT_C116933"	"NCIT_C96412|NCIT_C28193"
"NCIT_C116936"	"NCIT_C97172"
"NCIT_C116955"	"NCIT_C98996|NCIT_C28193"
"NCIT_C116958"	"NCIT_C28193|NCIT_C2889"
"NCIT_C116973"	"NCIT_C84353"
"NCIT_C117004"	"NCIT_C89715"
"NCIT_C117005"	"NCIT_C89715"
"NCIT_C117007"	"NCIT_C26835"
"NCIT_C117009"	"NCIT_C89715"
"NCIT_C117011"	"NCIT_C89715"
"NCIT_C117013"	"NCIT_C89715"
"NCIT_C117074"	"NCIT_C117007"
"NCIT_C117077"	"NCIT_C117074"
"NCIT_C117104"	"NCIT_C3201"
"NCIT_C117111"	"NCIT_C26819"
"NCIT_C117112"	"NCIT_C26819"
"NCIT_C117115"	"NCIT_C97092"
"NCIT_C117254"	"NCIT_C97092"
"NCIT_C117273"	"NCIT_C53543|NCIT_C28193"
"NCIT_C117295"	"NCIT_C26847"
"NCIT_C117296"	"NCIT_C27578"
"NCIT_C117307"	"NCIT_C3020"
"NCIT_C117308"	"NCIT_C60989"
"NCIT_C117312"	"NCIT_C118807"
"NCIT_C118172"	"NCIT_C34588"
"NCIT_C118240"	"NCIT_C28193"
"NCIT_C118297"	"NCIT_C79598"
"NCIT_C118298"	"NCIT_C79598"
"NCIT_C118299"	"NCIT_C26828"
"NCIT_C118312"	"NCIT_C99232"
"NCIT_C118318"	"NCIT_C118317"
"NCIT_C118370"	"NCIT_C54705"
"NCIT_C118375"	"NCIT_C98700"
"NCIT_C118420"	"NCIT_C27571"
"NCIT_C118422"	"NCIT_C28193"
"NCIT_C118423"	"NCIT_C34712"
"NCIT_C118435"	"NCIT_C53543"
"NCIT_C118436"	"NCIT_C53543|NCIT_C28193"
"NCIT_C118437"	"NCIT_C61272"
"NCIT_C118438"	"NCIT_C53543"
"NCIT_C118455"	"NCIT_C2849"
"NCIT_C118459"	"NCIT_C2849"
"NCIT_C118460"	"NCIT_C27572"
"NCIT_C118630"	"NCIT_C3727|NCIT_C7927"
"NCIT_C118631"	"NCIT_C53543|NCIT_C84392|NCIT_C28193"
"NCIT_C118632"	"NCIT_C28193"
"NCIT_C118633"	"NCIT_C3501|NCIT_C53543"
"NCIT_C118634"	"NCIT_C53543"
"NCIT_C118635"	"NCIT_C53543"
"NCIT_C118636"	"NCIT_C53543"
"NCIT_C118697"	"NCIT_C84978"
"NCIT_C118707"	"NCIT_C97109"
"NCIT_C118712"	"NCIT_C3891"
"NCIT_C118722"	"NCIT_C35733"
"NCIT_C118723"	"NCIT_C99208"
"NCIT_C118750"	"NCIT_C26805"
"NCIT_C118755"	"NCIT_C26874"
"NCIT_C118763"	"NCIT_C99208|NCIT_C100104"
"NCIT_C118764"	"NCIT_C53534"
"NCIT_C118765"	"NCIT_C27012"
"NCIT_C118781"	"NCIT_C84648"
"NCIT_C118782"	"NCIT_C75467"
"NCIT_C118783"	"NCIT_C84910"
"NCIT_C118784"	"NCIT_C101216"
"NCIT_C118785"	"NCIT_C84543"
"NCIT_C118786"	"NCIT_C53543|NCIT_C28193"
"NCIT_C118788"	"NCIT_C140264|NCIT_C53543"
"NCIT_C118810"	"NCIT_C2915"
"NCIT_C118816"	"NCIT_C4912|NCIT_C114451"
"NCIT_C118822"	"NCIT_C3326"
"NCIT_C118829"	"NCIT_C7153|NCIT_C9479"
"NCIT_C118843"	"NCIT_C53543|NCIT_C28193"
"NCIT_C118844"	"NCIT_C53543"
"NCIT_C118845"	"NCIT_C53543|NCIT_C28193"
"NCIT_C118846"	"NCIT_C84910"
"NCIT_C118847"	"NCIT_C85075"
"NCIT_C118859"	"NCIT_C34981"
"NCIT_C119024"	"NCIT_C2883"
"NCIT_C119028"	"NCIT_C5035"
"NCIT_C119031"	"NCIT_C114357"
"NCIT_C119032"	"NCIT_C114357"
"NCIT_C119034"	"NCIT_C114357"
"NCIT_C119042"	"NCIT_C27577"
"NCIT_C119043"	"NCIT_C118240"
"NCIT_C119046"	"NCIT_C79717"
"NCIT_C119049"	"NCIT_C28193"
"NCIT_C119050"	"NCIT_C28193"
"NCIT_C119051"	"NCIT_C119050"
"NCIT_C119053"	"NCIT_C119050"
"NCIT_C119054"	"NCIT_C119050"
"NCIT_C119055"	"NCIT_C119050"
"NCIT_C119056"	"NCIT_C119050"
"NCIT_C119057"	"NCIT_C119050"
"NCIT_C119058"	"NCIT_C119050"
"NCIT_C119676"	"NCIT_C53543"
"NCIT_C119677"	"NCIT_C53543"
"NCIT_C119678"	"NCIT_C53543"
"NCIT_C119734"	"NCIT_C4731|NCIT_C27580"
"NCIT_C119752"	"NCIT_C116769"
"NCIT_C119990"	"NCIT_C4691"
"NCIT_C119991"	"NCIT_C4691"
"NCIT_C119992"	"NCIT_C4691"
"NCIT_C119996"	"NCIT_C3298"
"NCIT_C120046"	"NCIT_C101216|NCIT_C53543"
"NCIT_C120083"	"NCIT_C9479|NCIT_C165470"
"NCIT_C120084"	"NCIT_C120083"
"NCIT_C120162"	"NCIT_C113347"
"NCIT_C120169"	"NCIT_C3113|NCIT_C98541"
"NCIT_C120186"	"NCIT_C9305|NCIT_C7628"
"NCIT_C120188"	"NCIT_C35107"
"NCIT_C120191"	"NCIT_C27226"
"NCIT_C120192"	"NCIT_C27226"
"NCIT_C120197"	"NCIT_C61420"
"NCIT_C120198"	"NCIT_C61420"
"NCIT_C120199"	"NCIT_C61420"
"NCIT_C120203"	"NCIT_C27565"
"NCIT_C120376"	"NCIT_C27565"
"NCIT_C120408"	"NCIT_C28193"
"NCIT_C120409"	"NCIT_C28193"
"NCIT_C120887"	"NCIT_C34843"
"NCIT_C120888"	"NCIT_C34843"
"NCIT_C120902"	"NCIT_C34843"
"NCIT_C120909"	"NCIT_C36284"
"NCIT_C121150"	"NCIT_C28193"
"NCIT_C121156"	"NCIT_C84978"
"NCIT_C121184"	"NCIT_C34792"
"NCIT_C121198"	"NCIT_C35337"
"NCIT_C121207"	"NCIT_C35719"
"NCIT_C121563"	"NCIT_C53543"
"NCIT_C121564"	"NCIT_C53543"
"NCIT_C121565"	"NCIT_C53543"
"NCIT_C121572"	"NCIT_C53543|NCIT_C28193"
"NCIT_C121618"	"NCIT_C3708"
"NCIT_C121619"	"NCIT_C3708"
"NCIT_C121656"	"NCIT_C28193"
"NCIT_C121741"	"NCIT_C113144"
"NCIT_C121745"	"NCIT_C26734"
"NCIT_C121747"	"NCIT_C26734"
"NCIT_C121750"	"NCIT_C26734"
"NCIT_C121751"	"NCIT_C26734"
"NCIT_C121791"	"NCIT_C6587|NCIT_C38150"
"NCIT_C121799"	"NCIT_C121793"
"NCIT_C121893"	"NCIT_C27477"
"NCIT_C121932"	"NCIT_C121931"
"NCIT_C121944"	"NCIT_C35561|NCIT_C28193"
"NCIT_C121945"	"NCIT_C53543"
"NCIT_C121953"	"NCIT_C6803"
"NCIT_C121981"	"NCIT_C121978"
"NCIT_C121982"	"NCIT_C121978"
"NCIT_C121983"	"NCIT_C121978"
"NCIT_C121984"	"NCIT_C121978"
"NCIT_C121985"	"NCIT_C121978"
"NCIT_C121986"	"NCIT_C121978"
"NCIT_C121988"	"NCIT_C121978"
"NCIT_C122082"	"NCIT_C26780"
"NCIT_C122414"	"NCIT_C99383|NCIT_C26760"
"NCIT_C122427"	"NCIT_C53649"
"NCIT_C122526"	"NCIT_C26704"
"NCIT_C122576"	"NCIT_C35038"
"NCIT_C122577"	"NCIT_C28397"
"NCIT_C122580"	"NCIT_C3368"
"NCIT_C12264"	"NCIT_C26753|NCIT_C36279"
"NCIT_C122653"	"NCIT_C4802|NCIT_C53543"
"NCIT_C122654"	"NCIT_C85065"
"NCIT_C122655"	"NCIT_C53543|NCIT_C27588"
"NCIT_C122656"	"NCIT_C84683"
"NCIT_C122657"	"NCIT_C53543|NCIT_C28193"
"NCIT_C122659"	"NCIT_C75467"
"NCIT_C122660"	"NCIT_C35561"
"NCIT_C122661"	"NCIT_C84733"
"NCIT_C122662"	"NCIT_C61272"
"NCIT_C122663"	"NCIT_C35561"
"NCIT_C122664"	"NCIT_C27059"
"NCIT_C122685"	"NCIT_C53655"
"NCIT_C122782"	"NCIT_C85053|NCIT_C28193"
"NCIT_C122784"	"NCIT_C35753"
"NCIT_C122787"	"NCIT_C84913"
"NCIT_C122788"	"NCIT_C122787"
"NCIT_C122789"	"NCIT_C122788"
"NCIT_C122790"	"NCIT_C122787"
"NCIT_C122791"	"NCIT_C122787"
"NCIT_C122795"	"NCIT_C34845"
"NCIT_C122796"	"NCIT_C34845"
"NCIT_C122797"	"NCIT_C34845"
"NCIT_C122798"	"NCIT_C34845"
"NCIT_C122804"	"NCIT_C3266"
"NCIT_C122805"	"NCIT_C28193"
"NCIT_C122811"	"NCIT_C3021"
"NCIT_C122812"	"NCIT_C3020"
"NCIT_C122814"	"NCIT_C26920"
"NCIT_C122822"	"NCIT_C96717"
"NCIT_C122919"	"NCIT_C112210"
"NCIT_C122923"	"NCIT_C4375"
"NCIT_C122991"	"NCIT_C27600"
"NCIT_C123018"	"NCIT_C129739|NCIT_C28193"
"NCIT_C123020"	"NCIT_C3423"
"NCIT_C123021"	"NCIT_C28193"
"NCIT_C123025"	"NCIT_C34843"
"NCIT_C123031"	"NCIT_C34750"
"NCIT_C123032"	"NCIT_C34843"
"NCIT_C123037"	"NCIT_C114667"
"NCIT_C123038"	"NCIT_C34965"
"NCIT_C123039"	"NCIT_C34644"
"NCIT_C123043"	"NCIT_C26784"
"NCIT_C123055"	"NCIT_C34644"
"NCIT_C123060"	"NCIT_C34645"
"NCIT_C123111"	"NCIT_C26784"
"NCIT_C123158"	"NCIT_C3101"
"NCIT_C123159"	"NCIT_C27603"
"NCIT_C123160"	"NCIT_C3512"
"NCIT_C123166"	"NCIT_C84578"
"NCIT_C123171"	"NCIT_C34750"
"NCIT_C123172"	"NCIT_C34750"
"NCIT_C123174"	"NCIT_C26738"
"NCIT_C123175"	"NCIT_C26738"
"NCIT_C123200"	"NCIT_C34843"
"NCIT_C123202"	"NCIT_C34843"
"NCIT_C123207"	"NCIT_C27601"
"NCIT_C123212"	"NCIT_C123158"
"NCIT_C123213"	"NCIT_C123158"
"NCIT_C123214"	"NCIT_C123158"
"NCIT_C123215"	"NCIT_C34965"
"NCIT_C123216"	"NCIT_C34965"
"NCIT_C123223"	"NCIT_C28193"
"NCIT_C123225"	"NCIT_C28193"
"NCIT_C123229"	"NCIT_C28193"
"NCIT_C123230"	"NCIT_C28193"
"NCIT_C123231"	"NCIT_C28193"
"NCIT_C123248"	"NCIT_C113213"
"NCIT_C123251"	"NCIT_C85034"
"NCIT_C123252"	"NCIT_C85034"
"NCIT_C123254"	"NCIT_C98885"
"NCIT_C123256"	"NCIT_C36286"
"NCIT_C123259"	"NCIT_C27616"
"NCIT_C12326"	"NCIT_C27616"
"NCIT_C123260"	"NCIT_C3101|NCIT_C26878"
"NCIT_C123262"	"NCIT_C3101"
"NCIT_C123263"	"NCIT_C3101"
"NCIT_C123265"	"NCIT_C3101"
"NCIT_C12328"	"NCIT_C13018"
"NCIT_C123308"	"NCIT_C84914"
"NCIT_C123317"	"NCIT_C35561"
"NCIT_C12332"	"NCIT_C13035"
"NCIT_C123329"	"NCIT_C6432"
"NCIT_C12333"	"NCIT_C48941"
"NCIT_C123330"	"NCIT_C34979"
"NCIT_C12337"	"NCIT_C13035"
"NCIT_C123412"	"NCIT_C2866"
"NCIT_C123413"	"NCIT_C2866"
"NCIT_C123414"	"NCIT_C111648"
"NCIT_C123415"	"NCIT_C116718"
"NCIT_C123417"	"NCIT_C53543"
"NCIT_C123429"	"NCIT_C53543"
"NCIT_C123433"	"NCIT_C3235|NCIT_C53543"
"NCIT_C123434"	"NCIT_C27870|NCIT_C53543"
"NCIT_C123435"	"NCIT_C3235|NCIT_C53543"
"NCIT_C123436"	"NCIT_C53543|NCIT_C28193"
"NCIT_C123437"	"NCIT_C53543|NCIT_C170732"
"NCIT_C123438"	"NCIT_C84910"
"NCIT_C123725"	"NCIT_C35261"
"NCIT_C123726"	"NCIT_C27564"
"NCIT_C123729"	"NCIT_C3131"
"NCIT_C123813"	"NCIT_C53543|NCIT_C28193"
"NCIT_C123814"	"NCIT_C53543|NCIT_C28193"
"NCIT_C123815"	"NCIT_C53543|NCIT_C28193"
"NCIT_C123907"	"NCIT_C4005|NCIT_C6563|NCIT_C7548"
"NCIT_C12399"	"NCIT_C12704"
"NCIT_C124056"	"NCIT_C84978"
"NCIT_C124057"	"NCIT_C96412"
"NCIT_C124070"	"NCIT_C27555"
"NCIT_C124292"	"NCIT_C42080|NCIT_C4715|NCIT_C4964|NCIT_C5448"
"NCIT_C124505"	"NCIT_C2849"
"NCIT_C124510"	"NCIT_C2849"
"NCIT_C124517"	"NCIT_C105595"
"NCIT_C124520"	"NCIT_C2849"
"NCIT_C124538"	"NCIT_C2849"
"NCIT_C124549"	"NCIT_C84923"
"NCIT_C124568"	"NCIT_C2849"
"NCIT_C124575"	"NCIT_C53543"
"NCIT_C124591"	"NCIT_C99538"
"NCIT_C12481"	"NCIT_C12471"
"NCIT_C124837"	"NCIT_C53543|NCIT_C28193"
"NCIT_C124838"	"NCIT_C53543|NCIT_C28193"
"NCIT_C124839"	"NCIT_C53543|NCIT_C28193"
"NCIT_C124840"	"NCIT_C53543|NCIT_C28193"
"NCIT_C124841"	"NCIT_C53543|NCIT_C28193"
"NCIT_C124842"	"NCIT_C85222"
"NCIT_C124844"	"NCIT_C53543|NCIT_C28193"
"NCIT_C124846"	"NCIT_C53543|NCIT_C28193"
"NCIT_C124851"	"NCIT_C53543"
"NCIT_C124852"	"NCIT_C103921|NCIT_C28193"
"NCIT_C124853"	"NCIT_C53543|NCIT_C28193"
"NCIT_C125383"	"NCIT_C34593"
"NCIT_C125384"	"NCIT_C26760"
"NCIT_C125385"	"NCIT_C53543"
"NCIT_C125386"	"NCIT_C53543"
"NCIT_C125387"	"NCIT_C53543"
"NCIT_C125388"	"NCIT_C3501|NCIT_C53543"
"NCIT_C125390"	"NCIT_C53543|NCIT_C28193"
"NCIT_C125418"	"NCIT_C53543|NCIT_C28193"
"NCIT_C125419"	"NCIT_C53543"
"NCIT_C125484"	"NCIT_C26812"
"NCIT_C125487"	"NCIT_C28193"
"NCIT_C125488"	"NCIT_C53543|NCIT_C28193"
"NCIT_C125591"	"NCIT_C53543|NCIT_C28193"
"NCIT_C125592"	"NCIT_C53543|NCIT_C28193"
"NCIT_C125594"	"NCIT_C53543"
"NCIT_C125596"	"NCIT_C61267"
"NCIT_C125597"	"NCIT_C3235|NCIT_C2849"
"NCIT_C125598"	"NCIT_C34560"
"NCIT_C125599"	"NCIT_C53543|NCIT_C28193"
"NCIT_C125661"	"NCIT_C3235|NCIT_C53543"
"NCIT_C125662"	"NCIT_C84476"
"NCIT_C125663"	"NCIT_C3235"
"NCIT_C125664"	"NCIT_C53543"
"NCIT_C125665"	"NCIT_C53543"
"NCIT_C125693"	"NCIT_C53543"
"NCIT_C125694"	"NCIT_C53543"
"NCIT_C125695"	"NCIT_C4802|NCIT_C84909"
"NCIT_C125696"	"NCIT_C34568"
"NCIT_C125697"	"NCIT_C34568"
"NCIT_C125698"	"NCIT_C34568"
"NCIT_C125699"	"NCIT_C34568"
"NCIT_C125700"	"NCIT_C34568"
"NCIT_C125701"	"NCIT_C34568"
"NCIT_C125702"	"NCIT_C62505"
"NCIT_C125703"	"NCIT_C62505"
"NCIT_C125704"	"NCIT_C62505"
"NCIT_C125705"	"NCIT_C62505"
"NCIT_C125706"	"NCIT_C62505"
"NCIT_C125707"	"NCIT_C62505"
"NCIT_C125708"	"NCIT_C62505"
"NCIT_C125709"	"NCIT_C62505"
"NCIT_C125711"	"NCIT_C53543|NCIT_C28193|NCIT_C93210"
"NCIT_C126295"	"NCIT_C3131"
"NCIT_C126303"	"NCIT_C9385"
"NCIT_C126326"	"NCIT_C53543|NCIT_C28193"
"NCIT_C126327"	"NCIT_C85217"
"NCIT_C126328"	"NCIT_C85217"
"NCIT_C126329"	"NCIT_C85217"
"NCIT_C126330"	"NCIT_C116757"
"NCIT_C126341"	"NCIT_C2889"
"NCIT_C126342"	"NCIT_C3144"
"NCIT_C126343"	"NCIT_C3144"
"NCIT_C126344"	"NCIT_C3131"
"NCIT_C126352"	"NCIT_C111802"
"NCIT_C126357"	"NCIT_C7634|NCIT_C3322"
"NCIT_C126493"	"NCIT_C40133|NCIT_C4934"
