"term_id"	"parent_id"
"Orphanet_10"	"Orphanet_377789"
"Orphanet_100"	"Orphanet_377788"
"Orphanet_1000"	"Orphanet_377788"
"Orphanet_100006"	"Orphanet_377796"
"Orphanet_100008"	"Orphanet_377796"
"Orphanet_100025"	"Orphanet_377796"
"Orphanet_100031"	"Orphanet_377796"
"Orphanet_100032"	"Orphanet_377796"
"Orphanet_100033"	"Orphanet_377796"
"Orphanet_100034"	"Orphanet_377796"
"Orphanet_100043"	"Orphanet_377788"
"Orphanet_100044"	"Orphanet_377788"
"Orphanet_100045"	"Orphanet_377788"
"Orphanet_100046"	"Orphanet_377788"
"Orphanet_100049"	"Orphanet_264992|Orphanet_377794|Orphanet_264670"
"Orphanet_100050"	"Orphanet_377795"
"Orphanet_100051"	"Orphanet_377795"
"Orphanet_100054"	"Orphanet_377795"
"Orphanet_100067"	"Orphanet_377796"
"Orphanet_100069"	"Orphanet_377788"
"Orphanet_100070"	"Orphanet_377788"
"Orphanet_100075"	"Orphanet_377788"
"Orphanet_100076"	"Orphanet_423975|Orphanet_377794"
"Orphanet_100077"	"Orphanet_423975|Orphanet_377794"
"Orphanet_100078"	"Orphanet_377788"
"Orphanet_100079"	"Orphanet_377788"
"Orphanet_100080"	"Orphanet_377788"
"Orphanet_100081"	"Orphanet_377788"
"Orphanet_100083"	"Orphanet_377788"
"Orphanet_100087"	"Orphanet_182130|Orphanet_101955|Orphanet_377794"
"Orphanet_100088"	"Orphanet_377794|Orphanet_100087"
"Orphanet_100090"	"Orphanet_182130|Orphanet_377794|Orphanet_68415"
"Orphanet_100091"	"Orphanet_182130|Orphanet_377794|Orphanet_101954"
"Orphanet_100092"	"Orphanet_377794|Orphanet_877"
"Orphanet_100093"	"Orphanet_377792"
"Orphanet_100094"	"Orphanet_182130|Orphanet_101956|Orphanet_183643|Orphanet_271847|Orphanet_377794"
"Orphanet_1001"	"Orphanet_377789"
"Orphanet_100100"	"Orphanet_377794|Orphanet_98057"
"Orphanet_100101"	"Orphanet_377794|Orphanet_877"
"Orphanet_1003"	"Orphanet_377789"
"Orphanet_1005"	"Orphanet_377789"
"Orphanet_1008"	"Orphanet_377788"
"Orphanet_100924"	"Orphanet_377788"
"Orphanet_100973"	"Orphanet_377788"
"Orphanet_100976"	"Orphanet_377788"
"Orphanet_100979"	"Orphanet_102013|Orphanet_377794"
"Orphanet_100980"	"Orphanet_377794|Orphanet_102012"
"Orphanet_100981"	"Orphanet_102013|Orphanet_377794"
"Orphanet_100982"	"Orphanet_377794|Orphanet_102012"
"Orphanet_100984"	"Orphanet_377788"
"Orphanet_100985"	"Orphanet_377788"
"Orphanet_100986"	"Orphanet_377788"
"Orphanet_100988"	"Orphanet_377788"
"Orphanet_100989"	"Orphanet_377788"
"Orphanet_100991"	"Orphanet_377788"
"Orphanet_100993"	"Orphanet_377788"
"Orphanet_100994"	"Orphanet_377788"
"Orphanet_100995"	"Orphanet_377788"
"Orphanet_100996"	"Orphanet_377788"
"Orphanet_100997"	"Orphanet_377788"
"Orphanet_100998"	"Orphanet_377788"
"Orphanet_100999"	"Orphanet_377788"
"Orphanet_101"	"Orphanet_377788"
"Orphanet_1010"	"Orphanet_377788"
"Orphanet_101000"	"Orphanet_377788"
"Orphanet_101001"	"Orphanet_377788"
"Orphanet_101003"	"Orphanet_377788"
"Orphanet_101004"	"Orphanet_377788"
"Orphanet_101005"	"Orphanet_377788"
"Orphanet_101006"	"Orphanet_377788"
"Orphanet_101007"	"Orphanet_377788"
"Orphanet_101008"	"Orphanet_377788"
"Orphanet_101010"	"Orphanet_377788"
"Orphanet_101011"	"Orphanet_377788"
"Orphanet_101016"	"Orphanet_377788"
"Orphanet_101028"	"Orphanet_377788"
"Orphanet_101030"	"Orphanet_377796"
"Orphanet_101039"	"Orphanet_377788"
"Orphanet_101041"	"Orphanet_377796"
"Orphanet_101046"	"Orphanet_377788"
"Orphanet_101049"	"Orphanet_377795"
"Orphanet_101050"	"Orphanet_377795"
"Orphanet_101063"	"Orphanet_377791"
"Orphanet_101068"	"Orphanet_377788"
"Orphanet_101070"	"Orphanet_377796"
"Orphanet_101075"	"Orphanet_377788"
"Orphanet_101076"	"Orphanet_377788"
"Orphanet_101077"	"Orphanet_377788"
"Orphanet_101078"	"Orphanet_377788"
"Orphanet_101081"	"Orphanet_377788"
"Orphanet_101082"	"Orphanet_377788"
"Orphanet_101083"	"Orphanet_377788"
"Orphanet_101084"	"Orphanet_377788"
"Orphanet_101085"	"Orphanet_377788"
"Orphanet_101088"	"Orphanet_377796"
"Orphanet_101089"	"Orphanet_377796"
"Orphanet_101090"	"Orphanet_377796"
"Orphanet_101091"	"Orphanet_377796"
"Orphanet_101092"	"Orphanet_377796"
"Orphanet_101097"	"Orphanet_377788"
"Orphanet_101101"	"Orphanet_377788"
"Orphanet_101102"	"Orphanet_377788"
"Orphanet_101108"	"Orphanet_377788"
"Orphanet_101109"	"Orphanet_377788"
"Orphanet_101110"	"Orphanet_377788"
"Orphanet_101111"	"Orphanet_377788"
