preferred_ontology_term	MESH	UMLS	EFO	NCIT	OMIM	DOID	Orphanet	HP	MONDO	ICD-10	label
MONDO_0020678	D006319		EFO_1001176	NCIT_C26739				HP_0000407	MONDO_0020678		sensorineural hearing loss disorder
MONDO_0002028	D010554	C0031212	HP_0012075	NCIT_C34922		DOID_1510		HP_0012075	MONDO_0002028	F60	personality disorder
MONDO_0011122	D009765	C0028754	EFO_0001073	NCIT_C3283		DOID_9970		HP_0001513	MONDO_0011122	E66.9	obesity disorder
MONDO_0021234	D013120	C0037930	EFO_0003828	NCIT_C3381					MONDO_0021234		spinal cord neoplasm
MONDO_0021245	D009062	C0026640	EFO_0003868	NCIT_C7606					MONDO_0021245		oral cavity neoplasm
MONDO_0015265	D001989	CN199179	EFO_0007183	NCIT_C62580		DOID_2799	Orphanet_1303	HP_0011946	MONDO_0015265	J44.8	bronchiolitis obliterans with obstructive pulmonary disease
MONDO_0005982	D014005	C0040247	EFO_0007510	NCIT_C112181					MONDO_0005982		tinea infection
MONDO_0006022	D000138		EFO_1000014	NCIT_C83504					MONDO_0006022		acidosis disorder
MONDO_0044001	D046089	C0155552		NCIT_C26974					MONDO_0044001		"hearing loss, mixed conductive-sensorineural"
MONDO_0018181	D013206	C0038165|C0678185	EFO_0007473	NCIT_C85077		DOID_9063	Orphanet_36236		MONDO_0018181	L00	staphylococcal scalded skin syndrome
MONDO_0001584	D015835		EFO_1001990			DOID_1279			MONDO_0001584		ocular motility disease
MONDO_0007690	C000591739	C1970109			OMIM_139300	DOID_0090122	Orphanet_178345		MONDO_0007690	E30.1	aromatase excess syndrome
MONDO_0009007	C000596385	C2931074|CN200616|C3495589			OMIM_217080		Orphanet_1873		MONDO_0009007	H35.5	Jalili syndrome
MONDO_0008382	C000598640	C1867235			OMIM_180270				MONDO_0008382		"retinoschisis, autosomal dominant"
MONDO_0013803	C000598644	C3281200			OMIM_614561				MONDO_0013803		LCC
MONDO_0008448	C000598645	C1866785			OMIM_182920	DOID_0080091	Orphanet_268129		MONDO_0008448	G71.8	spheroid body myopathy
MONDO_0008054	C000598745|C538250	C2931785|C0263666	EFO_0000557	NCIT_C27576	OMIM_160750	DOID_14203	Orphanet_93672		MONDO_0008054	M33.0	juvenile dermatomyositis
MONDO_0011142	C000600608				OMIM_601776		Orphanet_2953		MONDO_0011142	Q79.6	"Ehlers-Danlos syndrome, musculocontractural type"
MONDO_0043003	C531598	C2930792			OMIM_100600				MONDO_0043003		familial acanthosis nigricans
MONDO_0015261	C531609	C0086873					Orphanet_129		MONDO_0015261	L66.0	pseudopelade of Brocq
MONDO_0000687	C531609					DOID_0060157			MONDO_0000687		diffuse alopecia areata
MONDO_0019028	C531613	C2930799					Orphanet_67		MONDO_0019028	A06.7|A06.9|A06.8|A06.1|A06.5|A06.3|A06.2|A06.6|A06.4|A06.0	amoebiasis due to Entamoeba histolytica
MONDO_0019438	C531616	C0268381		NCIT_C3819			Orphanet_85443		MONDO_0019438	E85.9	AL amyloidosis
MONDO_0007103	C531617				OMIM_105400	DOID_0060193			MONDO_0007103	G12.2	amyotrophic lateral sclerosis type 1
MONDO_0007113	C531619|D017204	C0162635		NCIT_C75462	OMIM_105830	DOID_1932	Orphanet_72		MONDO_0007113	Q93.51	Angelman syndrome
MONDO_0004215	C531621	C0003177				DOID_7426			MONDO_0004215	A22.0	cutaneous anthrax
MONDO_0015445	C531623	C2930803					Orphanet_1455		MONDO_0015445	Q25.1	autosomal dominant coarctation of aorta
MONDO_0007345	C531623|D001017	C0003492	EFO_1001267	NCIT_C84567	OMIM_120000		Orphanet_1457		MONDO_0007345	Q25.1	aorta coarctation
MONDO_0008450	C531624	C1710146		NCIT_C50749	OMIM_182950				MONDO_0008450		spinal arachnoiditis
MONDO_0000461	C531633					DOID_0050810			MONDO_0000461		nutritional biotin deficiency
MONDO_0010913	C531647|D016767	C0162510|C1833541	EFO_1001286	NCIT_C84619	OMIM_600643	DOID_0050876	Orphanet_53035		MONDO_0010913	Q44.6	Caroli disease
MONDO_0015943	C531653|D015267	C0008728	EFO_0007208	NCIT_C34481		DOID_3049	Orphanet_183		MONDO_0015943	M30.1	eosinophilic granulomatosis with polyangiitis
MONDO_0019745	C531664						Orphanet_93612		MONDO_0019745	E72.0	cystinuria type A
MONDO_0007436	C531665|C538215	C0399379			OMIM_125400		Orphanet_99789		MONDO_0007436	K00.5	dentin dysplasia type I
MONDO_0016312	C531667	CN201128					Orphanet_217064		MONDO_0016312	T45.1	5-fluorouracil poisoning
MONDO_0003478	C531673		MONDO_0003478	NCIT_C8578		DOID_5509			MONDO_0003478		childhood ependymoma
MONDO_0000557	C531684		MONDO_0000557|Orphanet_183518|EFO_0009671	NCIT_C140268		DOID_0050951	Orphanet_183518		MONDO_0000557	G11	hereditary ataxia
MONDO_0007057	C531695|C535663|D031845	C2930971|C0917715		NCIT_C84745	OMIM_102500	DOID_2736	Orphanet_955		MONDO_0007057	M89.5	acroosteolysis dominant type
MONDO_0024271	C531698	C0348287	MONDO_0024271						MONDO_0024271		intestinal helminthiasis
MONDO_0007927	C531735	C0009677			OMIM_153630		Orphanet_2430		MONDO_0007927	Q38.2	congenital macroglossia
MONDO_0007948	C531742	C0268365			OMIM_154750				MONDO_0007948		marfanoid hypermobility syndrome
MONDO_0023094	C531762								MONDO_0023094		exogenous ochronosis
MONDO_0021072	C531777		MONDO_0021072	NCIT_C4216					MONDO_0021072		sympathetic paraganglioma
MONDO_0024351	C531784	C2930842							MONDO_0024351		familial pityriasis rubra pilaris
MONDO_0008308	C531791	C1867771			OMIM_176620				MONDO_0008308		"priapism, familial idiopathic"
MONDO_0007064	C531816	C0392607	EFO_0009147	NCIT_C3962	OMIM_102700	DOID_5810	Orphanet_277		MONDO_0007064	D81.3	adenosine deaminase deficiency
MONDO_0024893	C531834	C2930846							MONDO_0024893		toxocara canis infection (canine roundworms)
MONDO_0008586	C531835|D004933	C0014850			OMIM_189960	DOID_0080171	Orphanet_1199		MONDO_0008586	Q39.1|Q39.0	esophageal atresia/tracheoesophageal fistula
MONDO_0019565	C531844	C0042974				DOID_12531	Orphanet_903		MONDO_0019565	D68.0|D69.8	hereditary von Willebrand disease
MONDO_0010204	C531854				OMIM_278000	DOID_0080217	Orphanet_275761		MONDO_0010204	E75.5	lysosomal acid lipase deficiency
